"YEAR_ID","total_kg","prc_from_overall"
1989,4900022346,3.71
1990,4959286832,3.75
1991,3997960438,3.02
1992,5212123802,3.94
1993,5102435002,3.86
1994,4784823016,3.62
1995,5069253558,3.83
1996,4415180742,3.34
1997,3367936954,2.55
1998,2956185770,2.24
1999,3951071050,2.99
2000,3845051474,2.91
2001,3695334122,2.79
2002,3415150734,2.58
2003,3768012222,2.85
2004,4168526240,3.15
2005,4858152052,3.67
2006,4667151688,3.53
2007,5408086428,4.09
2008,5735252872,4.34
2009,5325097892,4.03
2010,5961914300,4.51
2011,6993941476,5.29
2012,5512404724,4.17
2013,6162011260,4.66
2014,5968368920,4.51
2015,6850878192,5.18
2016,1176756440,0.89
